material_id,formula,band_gap_eV,e_above_hull_eV,n_atoms,volume_A3,atomic_density,mean_mass_amu,max_mass_amu,min_mass_amu,std_mass_amu,mean_eneg,std_eneg,n_elements,emt_energy_per_atom
mp-29536,Ag5CF4,1.9268,0.2536,40,604.5568,0.066164,62.7346,107.8682,12.011,45.1769,2.812,0.9703,3,
mp-5563,Ag5GeO4,0.6785,0.0209,40,582.565,0.068662,67.5967,107.8682,15.999,43.34,2.542,0.7336,3,
mp-568540,Ag5Hg4P8Cl5,0.9357,0.0,22,505.0248,0.043562,80.3068,200.592,30.9738,64.3862,2.3168,0.4687,4,
mp-554648,Ag5IO6,0.0205,0.0088,24,343.4676,0.069876,63.52,126.9045,15.999,47.785,2.7458,0.7203,3,
mp-559847,Ag5P(S2Cl)2,1.2689,0.0,12,266.608,0.04501,64.1212,107.8682,30.9738,36.9949,2.3733,0.4495,4,
mp-1191916,Ag5PSeO4,0.3076,0.0,22,359.2974,0.061231,64.8438,107.8682,15.999,42.795,2.5591,0.6888,4,
mp-4004,Ag5SbS4,0.5945,0.0153,20,444.7853,0.044966,78.9341,121.76,32.06,38.4821,2.202,0.3106,3,
mp-1215016,Ag5Te2Br,0.2079,0.1063,64,1571.6114,0.040723,109.3056,127.6,79.904,13.8931,2.1012,0.3324,3,
mp-569467,Ag5Te2Cl,0.2316,0.0818,128,3057.7975,0.04186,103.7489,127.6,35.45,27.1278,2.1263,0.3973,3,
mp-1191803,Ag5TePO4,0.4713,0.0471,22,377.7483,0.05824,69.2646,127.6,15.999,46.387,2.5182,0.7014,4,
mp-1229181,Ag6Au2Se3S,0.0373,0.128,24,511.3547,0.046934,109.1763,196.9666,32.06,44.8224,2.2408,0.311,4,
mp-1214970,Ag6Ge(S2Br)2,0.5586,0.0143,52,1211.537,0.042921,77.5298,107.8682,32.06,32.6141,2.2946,0.401,4,
mp-1214971,Ag6Ge(S2Cl)2,0.6229,0.011,52,1162.5301,0.04473,70.6907,107.8682,32.06,35.895,2.3254,0.4549,4,
mp-1229218,Ag6Hg(P10I)2,0.9969,0.0016,58,1299.015,0.044649,59.3478,200.592,30.9738,45.2216,2.1621,0.1723,4,
mp-1229209,Ag6HgGeSe6,0.0112,0.0273,28,714.2758,0.039201,99.5898,200.592,72.63,31.4986,2.2064,0.2986,4,
mp-504579,Ag6Mo10O33,1.9973,0.0171,49,716.3659,0.068401,43.5648,107.8682,15.999,39.7255,2.9939,0.6438,3,
mp-1205440,Ag6Mo10O33,1.8951,0.017,49,693.933,0.070612,43.5648,107.8682,15.999,39.7255,2.9939,0.6438,3,
mp-553919,Ag6Mo2ClO7F3,1.5982,0.0106,19,300.8502,0.063154,54.9235,107.8682,15.999,42.9455,2.8989,0.8062,5,
mp-1229161,Ag6P6O19,0.4276,0.0817,31,434.2187,0.071393,36.6785,107.8682,15.999,35.3454,2.9058,0.677,3,
mp-1229171,Ag6S2IBr,0.5861,0.119,10,242.4499,0.041246,91.8138,126.9045,32.06,31.7186,2.236,0.3876,4,
mp-1229145,Ag6SbAsS6,1.442,0.0049,14,323.5879,0.043265,74.0179,121.76,32.06,37.529,2.235,0.3058,4,
mp-1197642,Ag6Sn3(S5N)2,0.027,0.4353,84,2092.127,0.040151,64.3787,118.71,14.007,41.2445,2.3495,0.3777,4,
mp-1204185,Ag6Te4W3O20,2.4678,0.045,66,1003.0952,0.065796,61.4882,183.84,15.999,59.4635,2.9048,0.6722,4,
mp-15077,Ag7AsS6,0.501,0.0055,56,1207.0376,0.046395,73.0256,107.8682,32.06,36.4209,2.2264,0.3125,3,
mp-683910,Ag7P3S11,1.3806,0.0192,84,1830.8451,0.04588,57.1742,107.8682,30.9738,35.8479,2.3076,0.2973,3,
mp-1197032,Ag7PS6,0.9116,0.0035,56,1167.9179,0.047949,69.8865,107.8682,30.9738,37.9826,2.2271,0.3124,3,
mp-8594,Ag7PSe6,0.4412,0.0,56,1270.0781,0.044092,89.9912,107.8682,30.9738,21.4623,2.2143,0.2979,3,
mp-766328,Ag7Sb9O25,0.3775,0.0666,41,562.556,0.072882,54.8998,121.76,15.999,48.8162,2.8771,0.7046,3,
mp-679950,Ag8Ge3O10,0.0862,0.0529,168,2548.5696,0.065919,59.0869,107.8682,15.999,42.624,2.6605,0.7437,3,
mp-9770,Ag8GeS6,0.6102,0.0,60,1207.5522,0.049687,75.1957,107.8682,32.06,36.2497,2.1953,0.3147,3,
mp-676799,Ag8GeTe6,0.0719,0.0368,15,412.4523,0.036368,113.4117,127.6,72.63,14.4149,2.0033,0.0813,3,
mp-685969,Ag8GeTe6,0.0387,0.0218,15,412.4036,0.036372,113.4117,127.6,72.63,14.4149,2.0033,0.0813,3,
mp-1215006,Ag8Hg(AsO5)2,0.0484,0.0945,42,716.3648,0.058629,65.3986,200.592,15.999,52.2317,2.6762,0.7315,4,
mp-1229180,Ag8Sb5As3S16,1.0255,0.0155,32,718.3466,0.044547,69.0459,121.76,32.06,38.7065,2.2972,0.2907,4,
mp-15645,Ag8SnS6,0.5351,0.0,60,1251.1598,0.047956,78.2677,118.71,32.06,37.8206,2.192,0.3169,3,
mp-651048,Ag9(BiO3)2,0.5562,0.2543,68,1964.6933,0.034611,87.3393,208.9804,15.999,61.3201,2.4735,0.7143,3,
mp-1229182,Ag9Ge2NO11,0.071,0.0151,23,351.8257,0.065373,56.7856,107.8682,14.007,43.796,2.7074,0.735,4,
mp-1195618,Ag9P14(OF)28,0.0265,0.0,158,2528.2511,0.062494,30.1819,107.8682,15.999,28.3423,3.2378,0.774,4,
mp-556837,AgAs(S8F3)2,2.7366,0.0,48,1196.3066,0.040123,33.7392,107.8682,18.9984,18.8635,2.8863,0.6484,4,
mp-1191037,AgAs(SeF2)3,1.666,0.0489,22,412.9467,0.053276,48.5176,107.8682,18.9984,33.3442,3.24,0.8287,4,
mp-557631,AgAs(XeF5)2,1.4049,0.0126,28,496.7072,0.056371,45.3828,131.293,18.9984,43.5065,3.5079,0.7621,4,
